City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,luena,-11.7833,19.9167,15.83,35,0,1.69,AO,1691348297
84,guasdualito,7.2424,-70.7324,30.98,70,40,1.54,VE,1691348297
85,lakota,5.8528,-5.6883,22.52,98,75,1.46,CI,1691348297
86,atvidaberg,58.2015,15.9977,15.33,99,100,4.73,SE,1691348297
87,yuzhno-kurilsk,44.0306,145.8556,14.18,97,100,2.57,RU,1691348297
88,abadeh,31.1608,52.6506,25.78,17,38,2.94,IR,1691348297
89,jiutai,44.1525,125.8328,18.19,98,98,1.75,CN,1691348297
90,oviedo,43.3603,-5.8448,18.49,76,27,3.13,ES,1691348298
91,tual,-5.6667,132.75,25.48,82,7,9.98,ID,1691348298
92,tura,25.5198,90.2201,24.17,99,100,2.7,IN,1691348114
93,dunedin,-45.8742,170.5036,8.22,80,52,2.24,NZ,1691348298
94,crane,31.3974,-102.3501,39.76,18,0,6.75,US,1691348298
95,sidi khaled,34.387,4.9879,32.92,19,0,3.39,DZ,1691348120
96,teguise,29.0605,-13.564,24.12,65,20,6.17,ES,1691348298
97,acarau,-2.8856,-40.12,29.5,60,4,9.48,BR,1691348017
98,lebu,-37.6167,-73.65,13.49,65,0,1.99,CL,1691348121
99,dryden,49.7833,-92.7503,24.16,50,20,1.54,CA,1691348299
100,merowe,18.4833,31.8167,33.16,42,91,3.87,SD,1691348299
101,hadibu,12.65,54.0333,25.66,80,100,8.21,YE,1691348145
102,st. john's,47.5649,-52.7093,16.2,96,100,4.63,CA,1691348299
103,nakambala,-15.8324,27.7799,17.42,63,6,3.73,ZM,1691348299
104,barra de santo antonio,-9.4047,-35.5072,26.6,85,49,5.16,BR,1691348299
105,san patricio,28.017,-97.5169,38.4,42,0,7.82,US,1691348147
106,kharkhorin,47.1975,102.8238,12.38,82,36,1.45,MN,1691348299
107,okhotsk,59.3833,143.3,13.55,78,56,2.47,RU,1691348299
108,natal,-5.795,-35.2094,29.12,61,20,10.8,BR,1691348146
109,guamal,9.1433,-74.2238,36.84,44,32,1.76,CO,1691348300
110,geraldton,-28.7667,114.6,16.23,88,100,3.09,AU,1691348137
111,pariaman,-0.619,100.12,26.03,87,19,1.26,ID,1691348300
112,east london,-33.0153,27.9116,17.52,88,100,3.6,ZA,1691348119
113,aracuai,-16.8497,-42.0703,30.59,20,100,3.63,BR,1691348300
114,kapa'a,22.0752,-159.319,28.18,72,20,4.12,US,1691348300
115,sisimiut,66.9395,-53.6735,9.72,69,8,4.28,GL,1691348300
116,ar ruways,24.1103,52.7306,34.22,76,10,4.79,AE,1691348301
117,pacific grove,36.6177,-121.9166,28.69,86,20,4.92,US,1691348033
118,sao tome,0.3365,6.7273,24.47,75,55,3.65,ST,1691348301
119,hasaki,35.7333,140.8333,26.28,91,11,4.58,JP,1691348121
120,wailua homesteads,22.0669,-159.378,27.44,77,20,4.12,US,1691348125
121,anadyr,64.75,177.4833,11.28,81,75,3.0,RU,1691348130
122,carnarvon,-24.8667,113.6333,20.48,72,73,2.92,AU,1691348117
123,dalandzadgad,43.5708,104.425,25.22,17,0,2.62,MN,1691348301
124,luba,3.4568,8.5547,25.94,85,100,4.01,GQ,1691348135
125,selfoss,63.9331,-20.9971,13.36,84,98,1.85,IS,1691348301
126,santa fe,-31.6333,-60.7,29.41,48,0,5.52,AR,1691348161
127,ilulissat,69.2167,-51.1,10.01,57,0,2.06,GL,1691348129
128,altay,47.8667,88.1167,19.44,52,80,2.4,CN,1691348302
129,masterton,-40.9597,175.6575,9.38,97,100,1.42,NZ,1691348302
130,arno,60.1167,18.6333,18.21,94,100,8.82,SE,1691348302
131,yangambi,0.8102,24.4336,21.39,96,100,0.93,CD,1691348302
132,inarajan village,13.2736,144.7484,26.54,97,100,1.94,GU,1691348302
133,sitka,57.0531,-135.33,17.94,88,100,1.54,US,1691348302
134,fort bragg,35.139,-79.006,34.55,50,40,3.09,US,1691348134
135,tovarkovskiy,53.6822,38.2092,23.04,65,6,4.49,RU,1691348303
136,turochak,52.2576,87.1224,14.25,96,76,0.84,RU,1691348303
137,stanley,54.868,-1.6985,14.32,70,20,3.09,GB,1691348118
138,port hedland,-20.3167,118.5667,18.03,48,19,3.6,AU,1691348139
139,mata-utu,-13.2816,-176.1745,27.06,80,29,2.56,WF,1691348303
140,chipinge,-20.1883,32.6236,12.85,83,19,2.22,ZW,1691348303
141,salym,60.0625,71.4789,16.31,69,0,1.75,RU,1691348303
142,sucre,-19.0333,-65.2627,23.0,14,0,4.69,BO,1691348303
143,jamaame,0.0697,42.745,23.97,84,100,5.69,SO,1691348304
144,isafjordur,66.0755,-23.124,14.02,58,0,4.12,IS,1691348121
145,chateaubelair,13.2833,-61.25,30.29,79,40,4.63,VC,1691348304
146,yemetsk,63.4721,41.7941,16.79,88,46,1.3,RU,1691348304
147,tolanaro,-25.0319,46.9987,19.04,88,40,8.23,MG,1691348304
148,dikwa,12.024,13.9165,28.24,63,98,2.31,NG,1691348304
149,shetpe,44.1667,52.1167,31.01,29,0,3.61,KZ,1691348304
150,firuzabad,28.8438,52.5707,29.33,35,92,2.37,IR,1691348304
151,nagqu,31.5,92.0,3.43,85,25,2.52,CN,1691348304
152,al bawiti,28.3492,28.8659,35.46,13,0,4.13,EG,1691348148
153,nichinan,31.6,131.3667,26.82,93,40,5.61,JP,1691348132
154,tenno,39.9,139.9667,26.25,81,100,1.9,JP,1691348305
155,kourou,5.1552,-52.6478,32.03,67,8,5.51,GF,1691348305
156,narvik,68.4384,17.4272,15.7,73,99,1.16,NO,1691348305
157,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,100,40,2.0,RU,1691348123
158,bubaque,11.2833,-15.8333,26.71,82,100,8.39,GW,1691348305
159,flying fish cove,-10.4217,105.6791,23.82,94,100,5.14,CX,1691348305
160,huarmey,-10.0681,-78.1522,22.85,66,6,5.51,PE,1691348305
161,hinton,53.4001,-117.5857,23.89,43,100,1.63,CA,1691348306
162,tongliao,43.6125,122.2653,15.5,94,7,3.7,CN,1691348306
163,kuhmo,64.1333,29.5167,17.49,73,100,1.96,FI,1691348306
164,kaduy,59.2,37.15,21.52,78,4,2.72,RU,1691348306
165,thompson,55.7435,-97.8558,16.09,82,100,4.12,CA,1691348115
166,malpica,43.3228,-8.8105,22.43,67,13,8.91,ES,1691348306
167,kiruna,67.8557,20.2251,15.51,55,0,1.54,SE,1691348306
168,vadso,70.0744,29.7487,16.49,77,20,2.06,NO,1691348306
169,warren,39.4334,-84.1666,30.77,61,40,7.2,US,1691348307
170,posto fiscal rolim de moura,-13.0833,-62.2667,38.95,19,29,1.73,BR,1691348307
171,jamestown,42.097,-79.2353,30.01,50,0,5.66,US,1691348074
172,ongjin,37.9347,125.3619,23.84,93,0,2.07,KP,1691348307
173,nguigmi,14.2495,13.1092,28.12,65,8,3.63,NE,1691348307
174,saint-philippe,-21.3585,55.7679,20.77,78,75,7.47,RE,1691348308
175,georgetown,5.4112,100.3354,27.96,92,40,1.54,MY,1691348235
176,nova sintra,14.8667,-24.7167,23.07,78,99,4.82,CV,1691348121
177,tiksi,71.6872,128.8694,4.65,65,96,2.51,RU,1691348120
178,olyokminsk,60.3736,120.4264,16.8,88,100,1.53,RU,1691348308
179,dudinka,69.4058,86.1778,16.46,62,31,1.66,RU,1691348308
180,turpan,42.9333,89.1667,36.53,15,100,0.97,CN,1691348308
181,alaghsas,17.0187,8.0168,29.94,66,0,3.6,NE,1691348308
182,norilsk,69.3535,88.2027,16.35,62,5,1.34,RU,1691348309
183,borogontsy,62.6683,131.1683,12.59,59,14,2.46,RU,1691348309
184,luderitz,-26.6481,15.1594,17.41,66,0,4.14,,1691348309
185,susuman,62.7833,148.1667,3.61,94,100,2.58,RU,1691348136
186,vorgashor,67.5833,63.95,17.34,95,100,3.01,RU,1691348118
187,piracuruca,-3.9281,-41.7092,38.93,18,21,2.18,BR,1691348309
188,harper,4.375,-7.7169,24.93,84,15,3.19,LR,1691348309
189,nantucket,41.2835,-70.0995,27.03,53,0,4.12,US,1691348309
190,baranchinskiy,58.1617,59.6991,16.41,97,9,1.87,RU,1691348310
191,necochea,-38.5473,-58.7368,12.53,59,10,6.87,AR,1691348310
192,ahmadpur east,29.1431,71.2598,37.19,35,48,9.75,PK,1691348310
193,olinda,-8.0089,-34.8553,24.85,94,75,3.09,BR,1691348273
194,aasiaat,68.7098,-52.8699,4.06,72,9,4.04,GL,1691348128
195,tuapse,44.1125,39.0742,26.18,71,0,1.14,RU,1691348311
196,porto novo,6.4965,2.6036,25.9,87,91,4.63,BJ,1691348311
197,new yekepa,7.5794,-8.5378,22.52,90,85,1.29,LR,1691348311
198,laascaanood,8.4774,47.3597,29.4,36,72,9.25,SO,1691348313
199,mana,5.6592,-53.7767,30.12,68,10,5.47,GF,1691348313
200,caleta de carquin,-11.0925,-77.6267,21.31,69,25,5.27,PE,1691348313
201,port mathurin,-19.6833,63.4167,22.77,62,92,11.42,MU,1691348145
